#,单词,音标,解释,笔记
0,"adjust","英:/əˈdʒʌst/ 美:/əˈdʒʌst/","- vt. 校准；调整，使…适合
- vi. 调整，校准；适应


时 态:  
adjusted, adjusting, adjusts 

形容词:  
adjustable",
1,"horizontally","英:/ˌhɔri'zɔntli/ 美:/ˌhɑrɪˈzɑntəlɪ/","adv. 水平地；横地",
2,"constrain","英:/kənˈstreɪn/ 美:/kənˈstreɪn/","vt. 强迫，强使；限制，约束

时 态:  
constrained，constraining，constrains 

副 词:  
constrainedly

名 词:  
constrainer",
3,"ambiguous","英:/æmˈbɪɡjuəs/ 美:/æmˈbɪɡjuəs/","adj. 引起歧义的；模棱两可的，含糊不清的",
4,"additional","英:/əˈdɪʃənl/ 美:/əˈdɪʃənl/","adj. 增加的, 额外的, 另外的",
5,"conflict","英:/ˈkɒnflɪkt/ 美:/ˈkɑːnflɪkt/","- n. 战斗, 斗争
- 冲突, 抵触, 争论
- vi. 抵触, 冲突

时 态:  
conflicted, conflicting, conflicts  

形容词:  
conflictive",
6,"duplicate","英:/ˈdjuːplɪkeɪt/ 美:/ˈduːplɪkeɪt/","- n. 完全一样的东西, 复制品
- adj. 完全一样的, 复制的
- vt. 复制
- 复印

时 态:  
duplicated, duplicating, duplicates",
7,"mint","英:/mɪnt/ 美:/mɪnt/","- n. 薄荷；造币厂，巨款
- vt. 铸造，铸币


时 态:  
minted, minting, mints 

名 词:  
minter

形容词:  
minty",
8,"coordinate","英:/kəʊˈɔːdɪneɪt/ 美:/koʊˈɔːrdɪneɪt/","- vt. 使协调；使调和
- adj. 同等的，并列的
- n. 〈数〉坐标

时 态:  
coordinated，coordinating，coordinates  

形容词:  
coordinative

名 词:  
coordinator",
9,"hierarchy","英:/ˈhaɪərɑːki/ 美:/ˈhaɪərɑːrki/","- n. 等级制度
- 统治集团, 领导层",
10,"dynamically","","See dynamic.

Table of Contents    &uArr;TOP",
11,"appendix","英:/əˈpendɪks/ 美:/əˈpendɪks/","n. 附录；阑尾；附加物


复 数: 
appendices",
